"Region (English) / Région (anglais)","Region (French) / Région (français)","Scenario (English) / Scénario (anglais)","Scenario (French) / Scénario (français)","Economic Sector (English) / Secteur économique (anglais)","Economic Sector (French) / Secteur économique (français)","Subsector Level 1 (English) / Sous-secteur niveau 1 (anglais)","Subsector Level 1 (French) / Sous-secteur niveau 1 (français)","Subsector Level 2 (English) / Sous-secteur niveau 2 (anglais)","Subsector Level 2 (French) / Sous-secteur niveau 2 (français)","Subsector Level 3 (English) / Sous-secteur niveau 3 (anglais)","Subsector Level 3 (French) / Sous-secteur niveau 3 (français)","Units (English) / Unité (anglais)","Units (French) / Unité (français)","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.9","6.7","6.7","6.6","6.5","6.4","6.3","5.9","5.7","5.5","5.4","5.2","5","4.8","4.6","4.4","4.2","4"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.7","2.6","2.6","2.6","2.6","2.6","2.7","2.6","2.7","2.7","2.7","2.8","2.8","2.8","2.9","2.9","2.9","3"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.9","1.8","1.8","1.7","1.7","1.7","1.6","1.5","1.5","1.4","1.4","1.4","1.4","1.3","1.3","1.2","1.2","1.2"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","18.9","18.5","17.8","17","16.1","15","14","12.9","11.9","10.9","10","9.1","8.3","7.4","6.7","5.9","5.3","4.7"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.2","3","2.7","2.5","2.2","2.1","2.2","2.1","2.1","2.1","2.2","2.2","2.2","2.2","2.2","2.2","2.3","2.4"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","1.2","1.2","1.1","1","0.9","0.8","0.8","0.8","0.8","0.8","0.8","0.8","0.9","0.9","0.9","0.9","0.9"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.1","3.2","2.8","2.2","1.8","1.7","1.6","1.6","1.7","1.8","1.9","2","2.1","2.2","2.2","2.3","2.4","2.4"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.4","1.4","1.3","1.1","1","0.9","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.6","0.7","0.7"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.5","7.5","7.2","6.7","6.5","6.3","6.1","6.1","6.1","6","6","6","6","6","6.1","6.1","6.1","6.1"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.7","6","5.9","5.8","5.7","5.5","5.4","5.2","5.1","5","4.9","4.8","4.6","4.5","4.4","4.3","4.2","4.2"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.1","3.1","2.9","2.7","2.6","2.5","2.3","2.2","2.1","1.9","1.8","1.7","1.6","1.4","1.3","1.3","1.2","1.1"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","Animal Production","Élevage","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.3","5.3","5.2","5.2","5.2","5.2","5.2","5.2","5.2","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3","5.3"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","Crop Production","Cultures","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.6","2.6","2.6","2.4","2.3","2.2","2.2","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1","2.1"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","1","1","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Coal Production","Production de charbon","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.3","4.2","4","3.6","3.1","3.1","3","2.8","2.9","3","3.1","3.1","3.3","3.3","3.4","3.4","3.6","3.7"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.6","4.6","4.6","4.5","3.2","3.2","3","2.9","2.9","2.9","2.8","2.7","2.7","2.7","2.7","2.7","2.7","2.7"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","WCI Credits","Crédits relatif au WCI","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-8.6","-8.9","-7.6","-5.4","-3.4","-2.4","-1.6","-0.5","0","0","0","0","0","0","0","0","0","0"
"Quebec","Québec","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","68.8","67.7","66.5","64.8","62.4","61","59.4","57.9","57.2","56","54.8","53.7","52.7","51.7","50.7","49.7","49","48.3"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Natural Gas Distribution","Distribution du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Petroleum Products","Raffinage du pétrole","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.1","6","5.6","5.3","5.1","4.9","4.7","4.5","4.6","4.6","4.7","4.7","4.8","4.8","4.8","4.9","4.9","4.9"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Frontier Oil Production","Production de pétrole des régions pionnières","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Heavy Oil Production","Production de pétrole lourd","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Light Oil Production","Production de pétrole léger","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Liquid Natural Gas Production","Production de gaz naturel liquéfié","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Natural Gas Production and Processing","Production et traitement du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Oil and Natural Gas Transmission","Transport du pétrole et du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.5","1.4","1.4","1.4","1.3","1.2","1.2","1.1","1.1","1.1","1","1","1","1","1","1","1","1"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Electricity","Électricité","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.9","6.9","8.2","9.5","7.1","6.5","6.8","8.9","7.8","9.3","9.9","11.2","4.6","3.6","3.1","2.3","1.9","2.3"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Domestic Aviation and Marine","Transport aérien et transport maritime intérieurs","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Freight Transport","Transport de marchandises","Heavy Duty Trucks, Rail","Camions lourds, trains","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.5","12.8","12.1","11.4","10.8","10.1","11.8","10.9","10.8","10.5","10.3","9.9","9.6","9.3","9","8.6","8.2","7.8"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Other: Recreational, Commercial and Residential","Autres : à des fins récréatives, commerciales et résidentielles","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.1","3.9","3.9","4","4","4","4.2","4.3","4.3","4.4","4.5","4.5","4.6","4.7","4.8","4.9","5","5.1"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Bus, Rail and Domestic Aviation","Transport par autobus, train et transport aérien intérieur","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","3.2","3.3","3.3","3.3","3.3","3.5","3.4","3.5","3.5","3.5","3.4","3.4","3.4","3.4","3.4","3.4","3.4"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Transportation","Transports","Passenger Transport","Transport de passagers","Cars, Light Trucks and Motorcycles","Voitures, camions légers et motocyclettes","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.7","34.8","34.3","33.4","32.6","31.5","30.4","29.2","27.7","26","24.2","22.4","20.6","18.8","17.1","15.5","13.9","12.4"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Cement","Ciment","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.2","4.1","3.9","3.7","3.7","3.7","3.7","3.7","3.8","3.8","3.9","3.9","3.9","4","4.1","4.2","4.3","4.3"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Chemicals and Fertilizers","Produits chimiques et engrais","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.1","6.3","6.1","6.1","6","5.9","5.9","5.8","5.9","6","6","6.1","6.2","6.3","6.5","6.6","6.8","6.9"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Iron and Steel","Sidérurgie","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11.8","11.7","12","11.8","11.6","9.2","6.5","6.7","6.7","6.8","6.8","6.8","6.8","6.7","6.7","6.7","6.6","6.6"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Lime and Gypsum","Chaux et gypse","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.1","1.1","1","1","1","1","1","1","1.1","1.1","1.1","1.1","1.1","1.1","1.2","1.2","1.2","1.2"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Mining","Exploitation minière","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.7","1.7","1.6","1.4","1.3","1.2","1.2","1.1","1.1","1.1","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Pulp and Paper","Pâtes et papiers","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.6","1.3","1.3","1.3","1.2","1.1","1.1","1","1","0.9","0.9","0.9","0.9","0.9","0.9","1","1","1"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Heavy Industry","Industrie lourde","Smelting and Refining (Non Ferrous Metals)","Fonte et raffinage (métaux non ferreux)","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7","0.7","0.7","0.7","0.7","0.7"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Buildings","Bâtiments","Commercial","Commercial","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16","16.8","16.6","16","15.7","15.2","14.8","14.2","13.9","13.7","13.3","13","12.7","12.4","12.2","12","11.9","11.8"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Buildings","Bâtiments","Residential","Résidentiel","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.3","17.4","16.8","16.3","15.9","15.5","15.1","14.6","14.2","13.8","13.4","13","12.7","12.3","12","11.8","11.5","11.3"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","Animal Production","Élevage","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.4","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.3","6.4","6.4","6.4","6.4","6.4"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","Crop Production","Cultures","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.2","3.2","3.2","3.1","3","2.9","2.9","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Agriculture","Agriculture","On Farm Fuel Use","Utilisation de combustibles à la ferme","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.8","2.8","2.6","2.4","2.3","2.1","2","2","2","2","2.1","2.1","2.2","2.2","2.3","2.3","2.3","2.2"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Coal Production","Production de charbon","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Light Manufacturing, Construction and Forest Resources","Industrie légère, construction et ressources forestières","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.1","9","8.4","7.9","7.4","6.9","6.6","6.3","6.4","6.6","6.7","6.9","7.1","7.3","7.5","7.7","8","8.2"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Waste and Others","Déchets et autres sources","Waste","Déchets","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.6","7.7","7.7","7.7","3.8","3.8","3.7","3.7","3.6","3.6","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5"
"Ontario","Ontario","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Total","Total","n/a","s/o","n/a","s/o","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","157","160.7","158.8","155.7","145.5","138.5","135.3","133.6","130.5","130","128.1","126.9","118.1","114.8","112.5","109.9","107.9","106.4"
"Manitoba","Manitoba","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Downstream Oil and Gas","Industrie aval du pétrole et du gaz","Natural Gas Distribution","Distribution du gaz naturel","n/a","s/o","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Manitoba","Manitoba","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Frontier Oil Production","Production de pétrole des régions pionnières","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Manitoba","Manitoba","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Heavy Oil Production","Production de pétrole lourd","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Manitoba","Manitoba","2024 Additional Measures Scenario","Scénario avec mesures supplémentaires 2024","Oil and Gas","Pétrole et gaz","Upstream Oil and Gas","Industrie amont du pétrole et du gaz","Conventional Oil Production","Production de pétrole classique","Light Oil Production","Production de pétrole léger","Megatonnes of carbon dioxide equivalent","Mégatonnes d'équivalent de dioxyde de carbone","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.4","0.3","0.3","0.3","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0"
